cell_id,reduction,delta_close_deg,q_c_rel,n,n_failed,p_mean_of_pair,p_mean_of_pair_lo,p_mean_of_pair_hi,n_p_mean_of_pair,p_arrive_C,p_arrive_C_lo,p_arrive_C_hi,n_p_arrive_C,p_arrive_AB,p_arrive_AB_lo,p_arrive_AB_hi,n_p_arrive_AB,p_timeout,p_timeout_lo,p_timeout_hi,n_p_timeout,p_no_commit,p_no_commit_lo,p_no_commit_hi,n_p_no_commit,p_final_mean_of_pair,p_final_mean_of_pair_lo,p_final_mean_of_pair_hi,n_p_final_mean_of_pair,p_bimodal_t2,p_bimodal_t2_lo,p_bimodal_t2_hi,n_p_bimodal_t2,p_merged_t2,p_merged_t2_lo,p_merged_t2_hi,n_p_merged_t2,p_commit_A,p_arrive_A,p_commit_B,p_arrive_B,p_commit_C,median_t_commit,median_t_arrival,mean_t_arrival,p_detector_fired,median_t_bif
30,max,25.0,1.0,200,0,0.0,0.0,0.018846005918320894,0,0.57,0.500703604055383,0.636657955116052,114,0.43,0.36334204488394795,0.49929639594461706,86,0.0,0.0,0.018846005918320894,0,0.165,0.11996784122663977,0.22265898273863527,33,0.01,0.0027466006037749346,0.03572248519617954,2,0.99,0.9642775148038205,0.9972533993962251,198,0.01,0.0027466006037749346,0.03572248519617954,2,0.0,0.055,0.265,0.375,0.57,11.0,25.464313530799995,19.250030082486155,1.0,1.0
31,max,25.0,1.01,200,0,0.0,0.0,0.018846005918320894,0,0.57,0.500703604055383,0.636657955116052,114,0.43,0.36334204488394795,0.49929639594461706,86,0.0,0.0,0.018846005918320894,0,0.17,0.12427835351105657,0.22816001039503528,34,0.015,0.005114145184492387,0.043166480556278884,3,0.99,0.9642775148038205,0.9972533993962251,198,0.01,0.0027466006037749346,0.03572248519617954,2,0.0,0.055,0.26,0.375,0.57,11.0,25.4498380077082,19.29363362550785,1.0,1.0
32,max,25.0,1.02,200,0,0.0,0.0,0.018846005918320894,0,0.585,0.5157378707263818,0.6510583082675037,117,0.415,0.3489416917324964,0.48426212927361817,83,0.0,0.0,0.018846005918320894,0,0.16,0.11567342208544587,0.2171418619390124,32,0.01,0.0027466006037749346,0.03572248519617954,2,0.99,0.9642775148038205,0.9972533993962251,198,0.01,0.0027466006037749346,0.03572248519617954,2,0.0,0.055,0.255,0.36,0.585,11.0,25.437857382025772,19.564726656729103,1.0,1.0
33,max,30.0,1.0,200,0,0.0,0.0,0.018846005918320894,0,0.0,0.0,0.018846005918320894,0,0.985,0.9568335194437211,0.9948858548155076,197,0.015,0.005114145184492387,0.043166480556278884,3,0.625,0.5561417515728713,0.6891467469475485,125,0.0,0.0,0.018846005918320894,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.0,0.61,0.375,0.375,0.0,9.0,14.87584891280075,14.812823286321755,1.0,1.0
34,max,30.0,1.01,200,0,0.0,0.0,0.018846005918320894,0,0.0,0.0,0.018846005918320894,0,0.99,0.9642775148038205,0.9972533993962251,198,0.01,0.0027466006037749346,0.03572248519617954,2,0.625,0.5561417515728713,0.6891467469475485,125,0.0,0.0,0.018846005918320894,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.0,0.615,0.375,0.375,0.0,9.0,14.88706792321862,14.216184373493103,1.0,1.0
35,max,30.0,1.02,200,0,0.0,0.0,0.018846005918320894,0,0.015,0.005114145184492387,0.043166480556278884,3,0.97,0.9361048802675267,0.9861798741692518,194,0.015,0.005114145184492387,0.043166480556278884,3,0.62,0.5510658951919951,0.6844110633876079,124,0.0,0.0,0.018846005918320894,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.0,0.605,0.365,0.365,0.015,9.0,14.89958808555865,14.105678141812435,1.0,1.0
36,max,40.0,1.0,200,0,0.0,0.0,0.018846005918320894,0,0.01,0.0027466006037749346,0.03572248519617954,2,0.96,0.9230670617058012,0.9795946128493436,192,0.03,0.013820125830748327,0.06389511973247333,6,0.39,0.325082297194914,0.45906382410711677,78,0.005,0.0008831459893662054,0.02777439986977148,1,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.255,0.615,0.345,0.345,0.01,9.0,16.390656670379897,18.43177341944266,1.0,1.0
37,max,40.0,1.01,200,0,0.0,0.0,0.018846005918320894,0,0.01,0.0027466006037749346,0.03572248519617954,2,0.97,0.9361048802675267,0.9861798741692518,194,0.02,0.007804300176394188,0.050287865505193874,4,0.39,0.325082297194914,0.45906382410711677,78,0.01,0.0027466006037749346,0.03572248519617954,2,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.255,0.625,0.345,0.345,0.01,9.0,16.40206062328577,18.31757586410084,1.0,1.0
38,max,40.0,1.02,200,0,0.0,0.0,0.018846005918320894,0,0.01,0.0027466006037749346,0.03572248519617954,2,0.96,0.9230670617058012,0.9795946128493436,192,0.03,0.013820125830748327,0.06389511973247333,6,0.445,0.3778048169746545,0.5142682436763609,89,0.02,0.007804300176394188,0.050287865505193874,4,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.2,0.615,0.345,0.345,0.01,9.0,16.409295852897152,17.87080186728007,1.0,1.0
39,max,60.0,1.0,200,0,0.0,0.0,0.018846005918320894,0,0.0,0.0,0.018846005918320894,0,0.97,0.9361048802675267,0.9861798741692518,194,0.03,0.013820125830748327,0.06389511973247333,6,0.03,0.013820125830748327,0.06389511973247333,6,0.0,0.0,0.018846005918320894,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.505,0.505,0.465,0.465,0.0,7.0,10.196322991186626,10.195221272178216,1.0,1.0
40,max,60.0,1.01,200,0,0.0,0.0,0.018846005918320894,0,0.0,0.0,0.018846005918320894,0,0.955,0.9167024063390322,0.9761477282752958,191,0.045,0.023852271724704166,0.08329759366096785,9,0.045,0.023852271724704166,0.08329759366096785,9,0.0,0.0,0.018846005918320894,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.49,0.49,0.465,0.465,0.0,7.0,10.19667874137694,10.195737186252991,1.0,1.0
41,max,60.0,1.02,200,0,0.0,0.0,0.018846005918320894,0,0.0,0.0,0.018846005918320894,0,0.915,0.8681031145576462,0.9462547005301477,183,0.085,0.05374529946985246,0.13189688544235392,17,0.085,0.05374529946985246,0.13189688544235392,17,0.0,0.0,0.018846005918320894,0,1.0,0.9811539940816791,1.0,200,0.0,0.0,0.018846005918320894,0,0.45,0.45,0.465,0.465,0.0,7.0,10.197119337608061,10.197504416902973,1.0,1.0
